Camera,Phase,Species,Detections,Latitude,Longitude,Operation,RAI,Ind_Dogs,Dogs_Scaled,LGD,Sheep,elevation.clean,slope.clean,vegetation.clean,fence.dist.clean,road.dist.clean,water.dist.clean,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,rugged121.clean,viewshed.clean,viewshed.reclass.clean,ndvi.16.clean.1,veg.edges.dist.clean,chap.edges.dist.clean,ndvi.16.clean.2
F06,1,LYRU,1,39.02548,-123.06373,621,0.001610306,0,,N,,1.417954922,,,,,,,,,,,,,,,,
F06,1,Dogs,0,39.02548,-123.06373,621,0,0,,N,,1.417954922,,,,,,,,,,,,,,,,
F08,1,LYRU,6,39.01849,-123.06368,625,0.0096,0,,N,,0.975879133,,,,,,,,,,,,,,,,
F08,1,Dogs,0,39.01849,-123.06368,625,0,0,,N,,0.975879133,,,,,,,,,,,,,,,,
F10,1,LYRU,0,39.01194,-123.063,617,0,0,,N,,0.293638736,,,,,,,,,,,,,,,,
F10,1,Dogs,0,39.01194,-123.063,617,0,0,,N,,0.293638736,,,,,,,,,,,,,,,,
G09,1,LYRU,4,39.01552,-123.05519,588,0.006802721,0,,N,,0.75159812,,,,,,,,,,,,,,,,
G09,1,Dogs,0,39.01552,-123.05519,588,0,0,,N,,0.75159812,,,,,,,,,,,,,,,,
G11,1,LYRU,2,39.009,-123.05591,575,0.003478261,0,,N,,0.388111562,,,,,,,,,,,,,,,,
G11,1,Dogs,1,39.009,-123.05591,575,0.00173913,0,,N,,0.388111562,,,,,,,,,,,,,,,,
A03,2,LYRU,0,39.0347,-123.10165,304,0,0,,N,,-0.403376549,,,,,,,,,,,,,,,,
A03,2,Dogs,0,39.0347,-123.10165,304,0,0,,N,,-0.403376549,,,,,,,,,,,,,,,,
A13,2,LYRU,1,39.00059,-123.10008,364,0.002747253,0,,N,,-1.310959101,,,,,,,,,,,,,,,,
A13,2,Dogs,0,39.00059,-123.10008,364,0,0,,N,,-1.310959101,,,,,,,,,,,,,,,,
B02,2,LYRU,4,39.03789,-123.09434,251,0.015936255,0,,N,,0.760355115,,,,,,,,,,,,,,,,
B02,2,Dogs,1,39.03789,-123.09434,251,0.003984064,0,,N,,0.760355115,,,,,,,,,,,,,,,,
B04,2,LYRU,11,39.03127,-123.09418,358,0.030726257,0,,N,,-0.090064593,,,,,,,,,,,,,,,,
B04,2,Dogs,0,39.03127,-123.09418,358,0,0,,N,,-0.090064593,,,,,,,,,,,,,,,,
B06,2,LYRU,3,39.02517,-123.09378,357,0.008403361,0,,N,,-0.175824359,,,,,,,,,,,,,,,,
B06,2,Dogs,0,39.02517,-123.09378,357,0,0,,N,,-0.175824359,,,,,,,,,,,,,,,,
B08,2,LYRU,0,39.0181,-123.0933,348,0,0,,N,,-0.631862342,,,,,,,,,,,,,,,,
B08,2,Dogs,0,39.0181,-123.0933,348,0,0,,N,,-0.631862342,,,,,,,,,,,,,,,,
B10,2,LYRU,1,39.01139,-123.09276,351,0.002849003,0,,N,,-1.153982282,,,,,,,,,,,,,,,,
B10,2,Dogs,0,39.01139,-123.09276,351,0,0,,N,,-1.153982282,,,,,,,,,,,,,,,,
B12,2,LYRU,1,39.0043,-123.09306,370,0.002702703,1,,Y,,-0.933145761,,,,,,,,,,,,,,,,
B12,2,Dogs,8,39.0043,-123.09306,370,0.021621622,1,,Y,,-0.933145761,,,,,,,,,,,,,,,,
B14,2,LYRU,6,38.99797,-123.09263,377,0.015915119,1,,Y,,-1.038579583,,,,,,,,,,,,,,,,
B14,2,Dogs,2,38.99797,-123.09263,377,0.00530504,1,,Y,,-1.038579583,,,,,,,,,,,,,,,,
C03,2,LYRU,27,39.03551,-123.08639,349,0.077363897,0,,N,,1.108817816,,,,,,,,,,,,,,,,
C03,2,Dogs,0,39.03551,-123.08639,349,0,0,,N,,1.108817816,,,,,,,,,,,,,,,,
C05,2,LYRU,1,39.02836,-123.08619,197,0.005076142,0,,N,,0.663161099,,,,,,,,,,,,,,,,
C05,2,Dogs,0,39.02836,-123.08619,197,0,0,,N,,0.663161099,,,,,,,,,,,,,,,,
C07,2,LYRU,1,39.02201,-123.08588,300,0.003333333,0,,N,,0.116062872,,,,,,,,,,,,,,,,
C07,2,Dogs,0,39.02201,-123.08588,300,0,0,,N,,0.116062872,,,,,,,,,,,,,,,,
C09,2,LYRU,1,39.01465,-123.08611,374,0.002673797,0,,N,,-0.480375111,,,,,,,,,,,,,,,,
C09,2,Dogs,0,39.01465,-123.08611,374,0,0,,N,,-0.480375111,,,,,,,,,,,,,,,,
C11,2,LYRU,1,39.0082,-123.08518,307,0.003257329,2,,Y,,-0.868571937,,,,,,,,,,,,,,,,
C11,2,Dogs,5,39.0082,-123.08518,307,0.016286645,2,,Y,,-0.868571937,,,,,,,,,,,,,,,,
C15,2,LYRU,20,38.99488,-123.08437,377,0.053050398,3,,Y,,-0.897571683,,,,,,,,,,,,,,,,
C15,2,Dogs,53,38.99488,-123.08437,377,0.140583554,3,,Y,,-0.897571683,,,,,,,,,,,,,,,,
C17,2,LYRU,1,38.98819,-123.08453,376,0.002659574,0,,N,,-1.206950784,,,,,,,,,,,,,,,,
C17,2,Dogs,0,38.98819,-123.08453,376,0,0,,N,,-1.206950784,,,,,,,,,,,,,,,,
D04,2,LYRU,2,39.032,-123.07932,360,0.005555556,0,,N,,1.350430489,,,,,,,,,,,,,,,,
D04,2,Dogs,0,39.032,-123.07932,360,0,0,,N,,1.350430489,,,,,,,,,,,,,,,,
D06,2,LYRU,24,39.02524,-123.0786,371,0.064690027,0,,N,,0.91482234,,,,,,,,,,,,,,,,
D06,2,Dogs,0,39.02524,-123.0786,371,0,0,,N,,0.91482234,,,,,,,,,,,,,,,,
D08,2,LYRU,3,39.01839,-123.07802,376,0.007978723,0,,N,,0.244259447,,,,,,,,,,,,,,,,
D08,2,Dogs,0,39.01839,-123.07802,376,0,0,,N,,0.244259447,,,,,,,,,,,,,,,,
D10,2,LYRU,6,39.01199,-123.07796,224,0.026785714,0,,N,,-0.217530221,,,,,,,,,,,,,,,,
D10,2,Dogs,0,39.01199,-123.07796,224,0,0,,N,,-0.217530221,,,,,,,,,,,,,,,,
D12,2,LYRU,19,39.00478,-123.07772,362,0.052486188,2,,Y,,-0.745918572,,,,,,,,,,,,,,,,
D12,2,Dogs,1,39.00478,-123.07772,362,0.002762431,2,,Y,,-0.745918572,,,,,,,,,,,,,,,,
D14,2,LYRU,1,38.99776,-123.07731,340,0.002941176,0,,N,,-0.791820228,,,,,,,,,,,,,,,,
D14,2,Dogs,0,38.99776,-123.07731,340,0,0,,N,,-0.791820228,,,,,,,,,,,,,,,,
D16,2,LYRU,2,38.99145,-123.07739,365,0.005479452,0,,N,,-0.723310411,,,,,,,,,,,,,,,,
D16,2,Dogs,0,38.99145,-123.07739,365,0,0,,N,,-0.723310411,,,,,,,,,,,,,,,,
E05,2,LYRU,10,39.02881,-123.07079,355,0.028169014,0,,N,,1.65776968,,,,,,,,,,,,,,,,
E05,2,Dogs,0,39.02881,-123.07079,355,0,0,,N,,1.65776968,,,,,,,,,,,,,,,,
E07,2,LYRU,0,39.0221,-123.0712,376,0,0,,N,,0.827749372,,,,,,,,,,,,,,,,
E07,2,Dogs,0,39.0221,-123.0712,376,0,0,,N,,0.827749372,,,,,,,,,,,,,,,,
E09,2,LYRU,0,39.0153,-123.0707,351,0,0,,N,,0.269932121,,,,,,,,,,,,,,,,
E09,2,Dogs,0,39.0153,-123.0707,351,0,0,,N,,0.269932121,,,,,,,,,,,,,,,,
E11,2,LYRU,1,39.00868,-123.07081,363,0.002754821,0,,N,,-0.340461224,,,,,,,,,,,,,,,,
E11,2,Dogs,0,39.00868,-123.07081,363,0,0,,N,,-0.340461224,,,,,,,,,,,,,,,,
E13,2,LYRU,1,39.00151,-123.07004,364,0.002747253,0,,N,,-0.839186609,,,,,,,,,,,,,,,,
E13,2,Dogs,0,39.00151,-123.07004,364,0,0,,N,,-0.839186609,,,,,,,,,,,,,,,,
E15,2,LYRU,3,38.99478,-123.06953,364,0.008241758,0,,N,,-0.870527864,,,,,,,,,,,,,,,,
E15,2,Dogs,0,38.99478,-123.06953,364,0,0,,N,,-0.870527864,,,,,,,,,,,,,,,,
E17,2,LYRU,0,38.98867,-123.06975,365,0,1,,Y,,-0.960982919,,,,,,,,,,,,,,,,
E17,2,Dogs,38,38.98867,-123.06975,365,0.104109589,1,,Y,,-0.960982919,,,,,,,,,,,,,,,,
F04,2,LYRU,6,39.03244,-123.06379,305,0.019672131,0,,N,,1.888431549,,,,,,,,,,,,,,,,
F04,2,Dogs,0,39.03244,-123.06379,305,0,0,,N,,1.888431549,,,,,,,,,,,,,,,,
F06,2,LYRU,1,39.02548,-123.06373,338,0.00295858,0,,N,,1.417954922,,,,,,,,,,,,,,,,
F06,2,Dogs,0,39.02548,-123.06373,338,0,0,,N,,1.417954922,,,,,,,,,,,,,,,,
F08,2,LYRU,2,39.01849,-123.06368,355,0.005633803,0,,N,,0.975879133,,,,,,,,,,,,,,,,
F08,2,Dogs,0,39.01849,-123.06368,355,0,0,,N,,0.975879133,,,,,,,,,,,,,,,,
F10,2,LYRU,1,39.01194,-123.063,357,0.00280112,0,,N,,0.293638736,,,,,,,,,,,,,,,,
F10,2,Dogs,0,39.01194,-123.063,357,0,0,,N,,0.293638736,,,,,,,,,,,,,,,,
G09,2,LYRU,5,39.01552,-123.05519,344,0.014534884,0,,N,,0.75159812,,,,,,,,,,,,,,,,
G09,2,Dogs,0,39.01552,-123.05519,344,0,0,,N,,0.75159812,,,,,,,,,,,,,,,,
G11,2,LYRU,4,39.009,-123.05591,356,0.011235955,0,,N,,0.388111562,,,,,,,,,,,,,,,,
