Camera,Camera_folder,Species,DateTimeOriginal,Date,Time,delta.time.secs,Directory,FileName,DST,Time_DST_Corrected,Time_Decimal,Time_Scaled,Time_Radians,Time_Sun
C11,C11_031617_060917,Sheep,4/1/2017 8:47,4/1/2017,8:47:21,7363,Reviewed/C11_031617_060917/Sheep,IMG_1543.JPG,TRUE,8H 47M 21S,8.789166667,0.366215278,2.300998453,2.029764591
C11,C11_031617_060917,Sheep,4/1/2017 14:01,4/1/2017,14:01:13,12696,Reviewed/C11_031617_060917/Sheep,IMG_1597.JPG,TRUE,14H 1M 13S,14.02027778,0.584178241,3.670500139,3.327122835
C11,C11_031617_060917,Sheep,4/1/2017 18:08,4/1/2017,18:08:12,4469,Reviewed/C11_031617_060917/Sheep,IMG_1630.JPG,TRUE,18H 8M 12S,18.13666667,0.755694444,4.74816823,4.348020871
C11,C11_031617_060917,Sheep,4/2/2017 6:35,4/2/2017,6:35:50,36384,Reviewed/C11_031617_060917/Sheep,IMG_1648.JPG,TRUE,6H 35M 50S,6.597222222,0.274884259,1.727148739,1.483033314
C11,C11_031617_060917,Sheep,4/2/2017 14:26,4/2/2017,14:26:21,14658,Reviewed/C11_031617_060917/Sheep,IMG_1738.JPG,TRUE,14H 26M 21S,14.43916667,0.601631944,3.780164994,3.431261573
C11,C11_031617_060917,Sheep,4/2/2017 19:54,4/2/2017,19:54:50,1498,Reviewed/C11_031617_060917/Sheep,IMG_1759.JPG,TRUE,19H 54M 50S,19.91388889,0.82974537,5.21344392,4.79361172
C11,C11_031617_060917,Sheep,5/15/2017 18:21,5/15/2017,18:21:46,4519,Reviewed/C11_031617_060917/Sheep,IMG_1900.JPG,TRUE,18H 21M 46S,18.36277778,0.765115741,4.807363981,4.285077577
C11,C11_031617_060917,Sheep,5/16/2017 9:01,5/16/2017,9:01:53,5099,Reviewed/C11_031617_060917/Sheep,IMG_2020.JPG,TRUE,9H 1M 53S,9.031388889,0.37630787,2.364412082,2.240248298
C11,C11_031617_060917,Sheep,5/17/2017 5:44,5/17/2017,5:44:56,39466,Reviewed/C11_031617_060917/Sheep,IMG_2302.JPG,TRUE,5H 44M 56S,5.748888889,0.239537037,1.505055592,1.502209303
C11,C11_031617_060917,Sheep,5/17/2017 14:59,5/17/2017,14:59:05,8271,Reviewed/C11_031617_060917/Sheep,IMG_2401.JPG,TRUE,14H 59M 5S,14.98472222,0.624363426,3.922991104,3.542388964
