"","Phase","Camera","Camera_folder","Species","DateTimeOriginal","Date","Time","delta.time.secs","Directory","FileName","Classification","Sex","Age","BuckClass","DST","Time_DST_Corrected","Time_Decimal","Time_Scaled","Time_Radians","Time_Sun"
"10421",1,"C11","C11_031617_060917","Dog","6/3/2017 5:28","6/3/2017","5:28:30",604048,"Reviewed/C11_031617_060917/Dog","IMG_4945.JPG","Dog",NA,NA,NA,TRUE,"5H 28M 30S",5.475,0.228125,1.433351648,1.461858004
"10425",1,"C11","C11_031617_060917","Sheep","3/20/2017 17:54","3/20/2017","17:54:48",4565,"Reviewed/C11_031617_060917/Sheep","IMG_0035.JPG","Sheep",NA,NA,NA,TRUE,"17H 54M 48S",17.91333333,0.746388889,4.6896997,4.325375078
"10428",1,"C11","C11_031617_060917","Sheep","3/21/2017 8:31","3/21/2017","8:31:04",4475,"Reviewed/C11_031617_060917/Sheep","IMG_0061.JPG","Sheep",NA,NA,NA,TRUE,"8H 31M 4S",8.517777778,0.354907407,2.229949008,1.903236169
"10431",1,"C11","C11_031617_060917","Sheep","3/21/2017 16:31","3/21/2017","16:31:17",5750,"Reviewed/C11_031617_060917/Sheep","IMG_0103.JPG","Sheep",NA,NA,NA,TRUE,"16H 31M 17S",16.52138889,0.688391204,4.325289497,3.964099468
"10434",1,"C11","C11_031617_060917","Sheep","3/22/2017 10:23","3/22/2017","10:23:54",34963,"Reviewed/C11_031617_060917/Sheep","IMG_0133.JPG","Sheep",NA,NA,NA,TRUE,"10H 23M 54S",10.39833333,0.433263889,2.722277301,2.391364929
"10437",1,"C11","C11_031617_060917","Sheep","3/22/2017 14:21","3/22/2017","14:21:53",7912,"Reviewed/C11_031617_060917/Sheep","IMG_0148.JPG","Sheep",NA,NA,NA,TRUE,"14H 21M 53S",14.36472222,0.598530093,3.760675484,3.409122479
"10440",1,"C11","C11_031617_060917","Sheep","3/22/2017 19:29","3/22/2017","19:29:21",10474,"Reviewed/C11_031617_060917/Sheep","IMG_0193.JPG","Sheep",NA,NA,NA,TRUE,"19H 29M 21S",19.48916667,0.812048611,5.102251902,4.7245139
"10443",1,"C11","C11_031617_060917","Sheep","3/23/2017 9:19","3/23/2017","9:19:04",2502,"Reviewed/C11_031617_060917/Sheep","IMG_0298.JPG","Sheep",NA,NA,NA,TRUE,"9H 19M 4S",9.317777778,0.388240741,2.439388518,2.118938187
"10446",1,"C11","C11_031617_060917","Sheep","3/23/2017 12:10","3/23/2017","12:10:44",2004,"Reviewed/C11_031617_060917/Sheep","IMG_0319.JPG","Sheep",NA,NA,NA,TRUE,"12H 10M 44S",12.17888889,0.507453704,3.188425655,2.850541526
"10449",1,"C11","C11_031617_060917","Sheep","3/23/2017 16:58","3/23/2017","16:58:58",1587,"Reviewed/C11_031617_060917/Sheep","IMG_0355.JPG","Sheep",NA,NA,NA,TRUE,"16H 58M 58S",16.98277778,0.707615741,4.446080825,4.078924841
"10452",1,"C11","C11_031617_060917","Sheep","3/23/2017 19:00","3/23/2017","19:00:33",1566,"Reviewed/C11_031617_060917/Sheep","IMG_0404.JPG","Sheep",NA,NA,NA,TRUE,"19H 0M 33S",19.00916667,0.792048611,4.976588196,4.597084681
"10455",1,"C11","C11_031617_060917","Sheep","3/24/2017 3:55","3/24/2017","3:55:25",7252,"Reviewed/C11_031617_060917/Sheep","IMG_0421.JPG","Sheep",NA,NA,NA,TRUE,"3H 55M 25S",3.923611111,0.163483796,1.027198987,0.702934164
"10458",1,"C11","C11_031617_060917","Sheep","3/24/2017 18:21","3/24/2017","18:21:36",14214,"Reviewed/C11_031617_060917/Sheep","IMG_0433.JPG","Sheep",NA,NA,NA,TRUE,"18H 21M 36S",18.36,0.765,4.80663676,4.427913567
"10461",1,"C11","C11_031617_060917","Sheep","3/24/2017 20:46","3/24/2017","20:46:01",2969,"Reviewed/C11_031617_060917/Sheep","IMG_0460.JPG","Sheep",NA,NA,NA,TRUE,"20H 46M 1S",20.76694444,0.865289352,5.436773342,5.059772334
"10464",1,"C11","C11_031617_060917","Sheep","3/25/2017 6:46","3/25/2017","6:46:59",24571,"Reviewed/C11_031617_060917/Sheep","IMG_0472.JPG","Sheep",NA,NA,NA,TRUE,"6H 46M 59S",6.783055556,0.282627315,1.775799792,1.479346173
"10467",1,"C11","C11_031617_060917","Sheep","3/25/2017 16:58","3/25/2017","16:58:48",14333,"Reviewed/C11_031617_060917/Sheep","IMG_0574.JPG","Sheep",NA,NA,NA,TRUE,"16H 58M 48S",16.98,0.7075,4.445353605,4.07431848
"10470",1,"C11","C11_031617_060917","Sheep","3/25/2017 19:35","3/25/2017","19:35:35",2405,"Reviewed/C11_031617_060917/Sheep","IMG_0616.JPG","Sheep",NA,NA,NA,TRUE,"19H 35M 35S",19.59305556,0.816377315,5.12944995,4.73952466
"10473",1,"C11","C11_031617_060917","Sheep","3/26/2017 2:46","3/26/2017","2:46:46",13778,"Reviewed/C11_031617_060917/Sheep","IMG_0673.JPG","Sheep",NA,NA,NA,TRUE,"2H 46M 46S",2.779444444,0.115810185,0.727656854,0.400580054
"10476",1,"C11","C11_031617_060917","Sheep","3/26/2017 6:46","3/26/2017","6:46:11",5543,"Reviewed/C11_031617_060917/Sheep","IMG_0682.JPG","Sheep",NA,NA,NA,TRUE,"6H 46M 11S",6.769722222,0.282071759,1.772309133,1.482516544
"10479",1,"C11","C11_031617_060917","Sheep","3/26/2017 11:10","3/26/2017","11:10:05",3919,"Reviewed/C11_031617_060917/Sheep","IMG_0736.JPG","Sheep",NA,NA,NA,TRUE,"11H 10M 5S",11.16805556,0.465335648,2.923790107,2.6015203
"10482",1,"C11","C11_031617_060917","Sheep","3/26/2017 16:24","3/26/2017","16:24:56",6263,"Reviewed/C11_031617_060917/Sheep","IMG_0772.JPG","Sheep",NA,NA,NA,TRUE,"16H 24M 56S",16.41555556,0.683981481,4.297582395,3.929547922
"10485",1,"C11","C11_031617_060917","Sheep","3/27/2017 0:19","3/27/2017","0:19:23",19009,"Reviewed/C11_031617_060917/Sheep","IMG_0796.JPG","Sheep",NA,NA,NA,TRUE,"19M 23S",0.323055556,0.013460648,0.084575747,6.018121697
"10488",1,"C11","C11_031617_060917","Sheep","3/27/2017 5:50","3/27/2017","5:50:05",4959,"Reviewed/C11_031617_060917/Sheep","IMG_0805.JPG","Sheep",NA,NA,NA,TRUE,"5H 50M 5S",5.834722222,0.243113426,1.527526706,1.234881331
"10491",1,"C11","C11_031617_060917","Sheep","3/27/2017 16:23","3/27/2017","16:23:35",32492,"Reviewed/C11_031617_060917/Sheep","IMG_0874.JPG","Sheep",NA,NA,NA,TRUE,"16H 23M 35S",16.39305556,0.683043981,4.291691909,3.922453602
"10494",1,"C11","C11_031617_060917","Sheep","3/27/2017 18:57","3/27/2017","18:57:30",930,"Reviewed/C11_031617_060917/Sheep","IMG_0886.JPG","Sheep",NA,NA,NA,TRUE,"18H 57M 30S",18.95833333,0.789930556,4.96328006,4.569457307
"10497",1,"C11","C11_031617_060917","Sheep","3/27/2017 21:18","3/27/2017","21:18:49",965,"Reviewed/C11_031617_060917/Sheep","IMG_1013.JPG","Sheep",NA,NA,NA,TRUE,"21H 18M 49S",21.31361111,0.88806713,5.579890341,5.199131499
"10500",1,"C11","C11_031617_060917","Sheep","3/28/2017 1:35","3/28/2017","1:35:55",2089,"Reviewed/C11_031617_060917/Sheep","IMG_1045.JPG","Sheep",NA,NA,NA,TRUE,"1H 35M 55S",1.598611111,0.066608796,0.41851541,0.083736636
"10503",1,"C11","C11_031617_060917","Sheep","3/28/2017 4:39","3/28/2017","4:39:49",4036,"Reviewed/C11_031617_060917/Sheep","IMG_1069.JPG","Sheep",NA,NA,NA,TRUE,"4H 39M 49S",4.663611111,0.19431713,1.220930534,0.920919894
"10506",1,"C11","C11_031617_060917","Sheep","3/28/2017 6:47","3/28/2017","6:47:02",1586,"Reviewed/C11_031617_060917/Sheep","IMG_1087.JPG","Sheep",NA,NA,NA,TRUE,"6H 47M 2S",6.783888889,0.282662037,1.776017958,1.500058901
"10509",1,"C11","C11_031617_060917","Sheep","3/28/2017 12:23","3/28/2017","12:23:05",5515,"Reviewed/C11_031617_060917/Sheep","IMG_1130.JPG","Sheep",NA,NA,NA,TRUE,"12H 23M 5S",12.38472222,0.516030093,3.242312696,2.913527855
"10512",1,"C11","C11_031617_060917","Sheep","3/28/2017 18:18","3/28/2017","18:18:35",5414,"Reviewed/C11_031617_060917/Sheep","IMG_1168.JPG","Sheep",NA,NA,NA,TRUE,"18H 18M 35S",18.30972222,0.762905093,4.793474069,4.402838318
"10515",1,"C11","C11_031617_060917","Sheep","3/28/2017 22:55","3/28/2017","22:55:44",2639,"Reviewed/C11_031617_060917/Sheep","IMG_1282.JPG","Sheep",NA,NA,NA,TRUE,"22H 55M 44S",22.92888889,0.95537037,6.002769074,5.637706038
"10518",1,"C11","C11_031617_060917","Sheep","3/29/2017 6:48","3/29/2017","6:48:00",24520,"Reviewed/C11_031617_060917/Sheep","IMG_1291.JPG","Sheep",NA,NA,NA,TRUE,"5H 48M 0S",5.8,0.241666667,1.518436449,1.237234809
"10521",1,"C11","C11_031617_060917","Sheep","3/29/2017 15:33","3/29/2017","15:33:31",1035,"Reviewed/C11_031617_060917/Sheep","IMG_1315.JPG","Sheep",NA,NA,NA,TRUE,"15H 33M 31S",15.55861111,0.648275463,4.073234864,3.71064604
"10524",1,"C11","C11_031617_060917","Sheep","3/29/2017 18:27","3/29/2017","18:27:07",5242,"Reviewed/C11_031617_060917/Sheep","IMG_1342.JPG","Sheep",NA,NA,NA,TRUE,"18H 27M 7S",18.45194444,0.768831019,4.830707759,4.435460467
"10527",1,"C11","C11_031617_060917","Sheep","3/30/2017 19:29","3/30/2017","19:29:14",85853,"Reviewed/C11_031617_060917/Sheep","IMG_1384.JPG","Sheep",NA,NA,NA,TRUE,"19H 29M 14S",19.48722222,0.811967593,5.101742848,4.690834466
"10530",1,"C11","C11_031617_060917","Sheep","3/31/2017 9:45","3/31/2017","9:45:20",11172,"Reviewed/C11_031617_060917/Sheep","IMG_1429.JPG","Sheep",NA,NA,NA,TRUE,"9H 45M 20S",9.755555556,0.406481481,2.553998472,2.265301584
"10533",1,"C11","C11_031617_060917","Sheep","3/31/2017 16:34","3/31/2017","16:34:41",13947,"Reviewed/C11_031617_060917/Sheep","IMG_1453.JPG","Sheep",NA,NA,NA,TRUE,"16H 34M 41S",16.57805556,0.690752315,4.340124795,3.962983406
"10536",1,"C11","C11_031617_060917","Sheep","3/31/2017 19:04","3/31/2017","19:04:29",2643,"Reviewed/C11_031617_060917/Sheep","IMG_1486.JPG","Sheep",NA,NA,NA,TRUE,"19H 4M 29S",19.07472222,0.794780093,4.9937506,4.584243299
"10539",1,"C11","C11_031617_060917","Sheep","3/31/2017 20:04","3/31/2017","20:04:25",981,"Reviewed/C11_031617_060917/Sheep","IMG_1513.JPG","Sheep",NA,NA,NA,TRUE,"20H 4M 25S",20.07361111,0.836400463,5.2552591,4.846038535
"10542",1,"C11","C11_031617_060917","Sheep","4/1/2017 8:47","4/1/2017","8:47:21",7363,"Reviewed/C11_031617_060917/Sheep","IMG_1543.JPG","Sheep",NA,NA,NA,TRUE,"8H 47M 21S",8.789166667,0.366215278,2.300998453,2.029764591
"10545",1,"C11","C11_031617_060917","Sheep","4/1/2017 14:01","4/1/2017","14:01:13",12696,"Reviewed/C11_031617_060917/Sheep","IMG_1597.JPG","Sheep",NA,NA,NA,TRUE,"14H 1M 13S",14.02027778,0.584178241,3.670500139,3.327122835
"10548",1,"C11","C11_031617_060917","Sheep","4/1/2017 18:08","4/1/2017","18:08:12",4469,"Reviewed/C11_031617_060917/Sheep","IMG_1630.JPG","Sheep",NA,NA,NA,TRUE,"18H 8M 12S",18.13666667,0.755694444,4.74816823,4.348020871
"10551",1,"C11","C11_031617_060917","Sheep","4/2/2017 6:35","4/2/2017","6:35:50",36384,"Reviewed/C11_031617_060917/Sheep","IMG_1648.JPG","Sheep",NA,NA,NA,TRUE,"6H 35M 50S",6.597222222,0.274884259,1.727148739,1.483033314
"10554",1,"C11","C11_031617_060917","Sheep","4/2/2017 14:26","4/2/2017","14:26:21",14658,"Reviewed/C11_031617_060917/Sheep","IMG_1738.JPG","Sheep",NA,NA,NA,TRUE,"14H 26M 21S",14.43916667,0.601631944,3.780164994,3.431261573
"10557",1,"C11","C11_031617_060917","Sheep","4/2/2017 19:54","4/2/2017","19:54:50",1498,"Reviewed/C11_031617_060917/Sheep","IMG_1759.JPG","Sheep",NA,NA,NA,TRUE,"19H 54M 50S",19.91388889,0.82974537,5.21344392,4.79361172
"10560",1,"C11","C11_031617_060917","Sheep","5/15/2017 18:21","5/15/2017","18:21:46",4519,"Reviewed/C11_031617_060917/Sheep","IMG_1900.JPG","Sheep",NA,NA,NA,TRUE,"18H 21M 46S",18.36277778,0.765115741,4.807363981,4.285077577
"10563",1,"C11","C11_031617_060917","Sheep","5/16/2017 9:01","5/16/2017","9:01:53",5099,"Reviewed/C11_031617_060917/Sheep","IMG_2020.JPG","Sheep",NA,NA,NA,TRUE,"9H 1M 53S",9.031388889,0.37630787,2.364412082,2.240248298
"10566",1,"C11","C11_031617_060917","Sheep","5/17/2017 5:44","5/17/2017","5:44:56",39466,"Reviewed/C11_031617_060917/Sheep","IMG_2302.JPG","Sheep",NA,NA,NA,TRUE,"5H 44M 56S",5.748888889,0.239537037,1.505055592,1.502209303
"10569",1,"C11","C11_031617_060917","Sheep","5/17/2017 14:59","5/17/2017","14:59:05",8271,"Reviewed/C11_031617_060917/Sheep","IMG_2401.JPG","Sheep",NA,NA,NA,TRUE,"14H 59M 5S",14.98472222,0.624363426,3.922991104,3.542388964
"10572",1,"C11","C11_031617_060917","Sheep","5/17/2017 17:00","5/17/2017","17:00:58",978,"Reviewed/C11_031617_060917/Sheep","IMG_2440.JPG","Sheep",NA,NA,NA,TRUE,"17H 0M 58S",17.01611111,0.70900463,4.454807472,3.986122142
"10575",1,"C11","C11_031617_060917","Sheep","5/17/2017 19:01","5/17/2017","19:01:36",1560,"Reviewed/C11_031617_060917/Sheep","IMG_2527.JPG","Sheep",NA,NA,NA,TRUE,"19H 1M 36S",19.02666667,0.792777778,4.981169685,4.425304522
"10578",1,"C11","C11_031617_060917","Sheep","5/18/2017 7:36","5/18/2017","7:36:07",1121,"Reviewed/C11_031617_060917/Sheep","IMG_2596.JPG","Sheep",NA,NA,NA,TRUE,"7H 36M 7S",7.601944444,0.316747685,1.990184402,1.931945983
"10581",1,"C11","C11_031617_060917","Sheep","5/18/2017 18:27","5/18/2017","18:27:58",1277,"Reviewed/C11_031617_060917/Sheep","IMG_2773.JPG","Sheep",NA,NA,NA,TRUE,"18H 27M 58S",18.46611111,0.769421296,4.834416584,4.30045276
"10584",1,"C11","C11_031617_060917","Sheep","5/19/2017 18:07","5/19/2017","18:07:04",38502,"Reviewed/C11_031617_060917/Sheep","IMG_2878.JPG","Sheep",NA,NA,NA,TRUE,"18H 7M 4S",18.11777778,0.754907407,4.743223131,4.22227856
"10587",1,"C11","C11_031617_060917","Sheep","5/20/2017 8:04","5/20/2017","8:04:35",8090,"Reviewed/C11_031617_060917/Sheep","IMG_3109.JPG","Sheep",NA,NA,NA,TRUE,"8H 4M 35S",8.076388889,0.336516204,2.114393667,2.039189616
"10590",1,"C11","C11_031617_060917","Sheep","5/22/2017 19:40","5/22/2017","19:40:10",1263,"Reviewed/C11_031617_060917/Sheep","IMG_3196.JPG","Sheep",NA,NA,NA,TRUE,"19H 40M 10S",19.66944444,0.819560185,5.149448514,4.551522308
"10593",1,"C11","C11_031617_060917","Sheep","5/23/2017 18:50","5/23/2017","18:50:56",48114,"Reviewed/C11_031617_060917/Sheep","IMG_3259.JPG","Sheep",NA,NA,NA,TRUE,"18H 50M 56S",18.84888889,0.78537037,4.934627572,4.371540739
