Camera,Phase,Species,Detections,Latitude,Longitude,Operation,Foxlight,Sheep_Presence,RAI,Dog_RAI,Ind_Dogs,Elevation,Rugged.121,Dist.Water
Cam10,Phase1,LYRU,1,39.0065,-123.0838,50,FoxY,N,0.02,0,0,-0.865749836,-0.048255712,-0.920652509
Cam10,Phase2,LYRU,0,39.0065,-123.0838,35,FoxN,N,0,0,0,-0.865749836,-0.048255712,-0.920652509
Cam10,Phase3,LYRU,1,39.0065,-123.0838,35,FoxY,N,0.028571429,0,0,-0.865749836,-0.048255712,-0.920652509
Cam10,Phase4,LYRU,1,39.0065,-123.0838,35,FoxN,Y,0.028571429,0.02857143,1,-0.865749836,-0.048255712,-0.920652509
Cam10,Phase5,LYRU,0,39.0065,-123.0838,95,FoxY,Y,0,0,0,-0.865749836,-0.048255712,-0.920652509
Cam10,Phase6,LYRU,7,39.0065,-123.0838,63,FoxN,Y,0.111111111,0.01587302,1,-0.865749836,-0.048255712,-0.920652509
Cam10,Phase7,LYRU,2,39.0065,-123.0838,42,FoxY,N,0.047619048,0,0,-0.865749836,-0.048255712,-0.920652509
Cam10,Phase8,LYRU,0,39.0065,-123.0838,62,FoxN,Y,0,0,0,-0.865749836,-0.048255712,-0.920652509
Cam10,Phase9,LYRU,0,39.0065,-123.0838,49,FoxY,N,0,0,0,-0.865749836,-0.048255712,-0.920652509
Cam11,Phase1,LYRU,10,38.9927,-123.0757,49,FoxN,N,0.204081633,0.02040816,1,-0.55693382,1.160261631,-0.710944235
Cam11,Phase2,LYRU,0,38.9927,-123.0757,16,FoxY,Y,0,0.25,2,-0.55693382,1.160261631,-0.710944235
Cam11,Phase3,LYRU,1,38.9927,-123.0757,35,FoxN,N,0.028571429,0,0,-0.55693382,1.160261631,-0.710944235
Cam11,Phase4,LYRU,2,38.9927,-123.0757,35,FoxY,Y,0.057142857,0.11428571,2,-0.55693382,1.160261631,-0.710944235
Cam11,Phase7,LYRU,0,38.9927,-123.0757,42,FoxN,N,0,0,0,-0.55693382,1.160261631,-0.710944235
Cam11,Phase8,LYRU,0,38.9927,-123.0757,62,FoxY,N,0,0,0,-0.55693382,1.160261631,-0.710944235
Cam11,Phase9,LYRU,0,38.9927,-123.0757,49,FoxN,N,0,0,0,-0.55693382,1.160261631,-0.710944235
Cam12,Phase1,LYRU,1,38.99191,-123.0711,49,FoxY,N,0.020408163,0,0,-0.701454401,0.279263914,-0.688538015
Cam12,Phase2,LYRU,3,38.99191,-123.0711,35,FoxN,Y,0.085714286,0.02857143,1,-0.701454401,0.279263914,-0.688538015
Cam12,Phase3,LYRU,0,38.99191,-123.0711,35,FoxY,N,0,0,0,-0.701454401,0.279263914,-0.688538015
Cam12,Phase4,LYRU,2,38.99191,-123.0711,35,FoxN,N,0.057142857,0,0,-0.701454401,0.279263914,-0.688538015
Cam12,Phase8,LYRU,0,38.99191,-123.0711,27,FoxN,N,0,0,0,-0.701454401,0.279263914,-0.688538015
Cam12,Phase9,LYRU,0,38.99191,-123.0711,49,FoxY,N,0,0,0,-0.701454401,0.279263914,-0.688538015
